0	2	-0.67865
11.864	2	0.19042
16.157	2	0.033251
19.703	2	-0.67865
23.89	2	-0.67865
37.714	2	0.62753
42.726	2	-0.02487
57.43	2	-0.67865
70.068	2	0.19042
76.827	2	-0.67865
82.185	2	0.19042
92.384	2	0.50339
99.102	2	0.13092
106.58	2	-0.99162
122.25	2	-0.99162
136.44	2	0.50339
140.18	2	-0.99162
145.94	2	0.19042
153.04	2	-0.49501
156.93	2	1
168.89	2	-0.49501
173.36	2	0.033251
177.61	2	0.19042
228.64	2	0.033251
232.73	2	0.34622
242.71	2	0.84283
248.34	2	1
267.78	2	0.033251
275.35	2	-0.49501
281.52	2	0.84283
287.02	2	0.50339
294.35	2	0.50339
309.13	2	0.033251
313.68	2	0.84283
326.16	2	-0.99162
344.23	2	0.19042
348.82	2	-0.49501
355.47	2	-0.99162
359.76	2	0.31457
365.16	2	-0.49501
371.48	2	0.34622
377.1	2	-0.67865
384.07	2	1
389.03	2	-0.18204
410.64	2	0.84283
421.17	2	0.31457
432.54	2	0.50339
447.99	2	0.033251
452.92	2	-0.67865
472.01	2	-0.67865
479.34	2	0.84283
490.58	2	-0.02487
496.06	2	0.34622
503.21	2	0.13092
508.54	2	0.50339
531.36	2	-0.49501
535.45	2	-0.18204
544.8	2	-0.49501
557.46	2	-0.18204
568.6	2	0.31457
