'5.25'   '5'
'5.25'   '10'
'5.25'   '15'
'5.25'   '20'
'5.25'   '25'
'5.25'   '30'
'9'   '5'
'9'   '10'
'9'   '15'
'9'   '20'
'9'   '25'
'9'   '30'
'14'   '5'
'14'   '10'
'14'   '15'
'14'   '20'
'14'   '25'
'14'   '30'
'20'   '5'
'20'   '10'
'20'   '15'
'20'   '20'
'20'   '25'
'20'   '30'
'30'   '5'
'30'   '10'
'30'   '15'
'30'   '20'
'30'   '25'
'30'   '30'
'50'   '5'
'50'   '10'
'50'   '15'
'50'   '20'
'50'   '25'
'50'   '30'
'5.25'   '5'
'5.25'   '10'
'5.25'   '15'
'5.25'   '20'
'5.25'   '25'
'5.25'   '30'
'9'   '5'
'9'   '10'
'9'   '15'
'9'   '20'
'9'   '25'
'9'   '30'
'14'   '5'
'14'   '10'
'14'   '15'
'14'   '20'
'14'   '25'
'14'   '30'
'20'   '5'
'20'   '10'
'20'   '15'
'20'   '20'
'20'   '25'
'20'   '30'
'30'   '5'
'30'   '10'
'30'   '15'
'30'   '20'
'30'   '25'
'30'   '30'
'50'   '5'
'50'   '10'
'50'   '15'
'50'   '20'
'50'   '25'
'50'   '30'
