'5.25'   '90'
'5.25'   '75'
'5.25'   '50'
'5.25'   '33'
'5.25'   '10'
'5.25'   '5'
'9'   '90'
'9'   '75'
'9'   '50'
'9'   '33'
'9'   '10'
'9'   '5'
'14'   '90'
'14'   '75'
'14'   '50'
'14'   '33'
'14'   '10'
'14'   '5'
'20'   '90'
'20'   '75'
'20'   '50'
'20'   '33'
'20'   '10'
'20'   '5'
'30'   '90'
'30'   '75'
'30'   '50'
'30'   '33'
'30'   '10'
'30'   '5'
'50'   '90'
'50'   '75'
'50'   '50'
'50'   '33'
'50'   '10'
'50'   '5'
'5.25'   '90'
'5.25'   '75'
'5.25'   '50'
'5.25'   '33'
'5.25'   '10'
'5.25'   '5'
'9'   '90'
'9'   '75'
'9'   '50'
'9'   '33'
'9'   '10'
'9'   '5'
'14'   '90'
'14'   '75'
'14'   '50'
'14'   '33'
'14'   '10'
'14'   '5'
'20'   '90'
'20'   '75'
'20'   '50'
'20'   '33'
'20'   '10'
'20'   '5'
'30'   '90'
'30'   '75'
'30'   '50'
'30'   '33'
'30'   '10'
'30'   '5'
'50'   '90'
'50'   '75'
'50'   '50'
'50'   '33'
'50'   '10'
'50'   '5'
